"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"29-Sep-2020","     9385.75","     9401.80","     9286.05","     9319.70","     1981281501","        48277.69"
"30-Sep-2020","     9344.30","     9375.85","     9292.35","     9341.75","     1685665154","        46250.51"
"01-Oct-2020","     9433.70","     9472.40","     9423.80","     9461.70","     1649559208","        43616.28"
"05-Oct-2020","     9518.20","     9567.55","     9476.80","     9516.30","     1770099661","        48569.90"
"06-Oct-2020","     9592.65","     9633.35","     9564.05","     9622.35","     1562304293","        47182.36"
"07-Oct-2020","     9637.15","     9673.30","     9593.70","     9654.50","     1529749738","        50132.41"
"08-Oct-2020","     9724.55","     9759.30","     9674.95","     9711.80","     1758663740","        57940.23"
"09-Oct-2020","     9728.75","     9774.75","     9691.20","     9750.15","     1619493419","        52977.58"
"12-Oct-2020","     9793.35","     9822.95","     9698.90","     9745.35","     1459706393","        42909.43"
"13-Oct-2020","     9745.90","     9784.80","     9715.95","     9736.45","     1321281564","        46815.60"
"14-Oct-2020","     9726.45","     9781.25","     9657.50","     9763.40","     1600131402","        48347.77"
"15-Oct-2020","     9801.55","     9802.90","     9535.70","     9550.05","     1639785694","        52563.21"
"16-Oct-2020","     9588.80","     9635.00","     9536.45","     9626.25","     1471545501","        47535.92"
"19-Oct-2020","     9710.95","     9717.60","     9664.45","     9709.30","     1622404094","        46485.23"
"20-Oct-2020","     9699.30","     9760.35","     9682.30","     9733.00","     1573498289","        45784.37"
"21-Oct-2020","     9780.50","     9821.95","     9635.30","     9756.60","     1722901298","        56998.70"
"22-Oct-2020","     9726.45","     9763.80","     9683.80","     9745.05","     1634025894","        51725.18"
"23-Oct-2020","     9794.40","     9807.15","     9764.55","     9780.35","     1865194287","        47021.55"
"26-Oct-2020","     9794.95","     9797.70","     9609.20","     9647.65","     1624386756","        47495.10"
"27-Oct-2020","     9674.15","     9756.05","     9607.60","     9748.30","     1604881683","        57709.62"
"28-Oct-2020","     9773.85","     9782.95","     9602.75","     9632.35","     1687601159","        53472.56"
"29-Oct-2020","     9557.15","     9637.85","     9530.25","     9593.40","     1573369182","        47085.22"
"30-Oct-2020","     9605.10","     9665.00","     9500.70","     9581.65","     1888022481","        48564.91"
"02-Nov-2020","     9622.70","     9634.15","     9524.20","     9595.95","     1681708430","        53161.07"
"03-Nov-2020","     9648.65","     9715.45","     9643.00","     9696.30","     1671297247","        55990.96"
"04-Nov-2020","     9684.10","     9778.10","     9654.60","     9764.60","     1508974536","        54804.57"
